ST,Incident Type,Count,Amount,Average
AK,Flood,679,"$4 617 525,79","$6 800,48"
AL,Severe Storm(s),3 627,"$14 263 197,62","$3 932,51"
AR,Severe Storm(s),3 543,"$23 937 143,65","$6 756,18"
AS,Earthquake,969,"$9 981 228,06","$10 300,54"
CA,Fire,5,"$55 279,21","$11 055,84"
CO,Flood,11 933,"$37 610 543,81","$3 151,81"
CT,Hurricane,3 091,"$10 737 080,06","$3 473,66"
CT,Severe Storm(s),3 511,"$6 523 117,24","$1 857,91"
FL,Hurricane,2 240,"$11 574 813,11","$5 167,33"
FL,Severe Storm(s),11 041,"$55 721 940,97","$5 046,82"
GA,Hurricane,335,"$1 511 126,39","$4 510,83"
GA,Severe Storm(s),11 615,"$47 279 870,74","$4 070,59"
GA,Tornado,1,"$19 821,52","$19 821,52"
HI,Flood,442,"$1 513 586,53","$3 424,40"
IA,Flood,615,"$3 711 892,48","$6 035,60"
IA,Severe Storm(s),29 795,"$143 869 705,64","$4 828,65"
IL,Flood,50 480,"$105 936 675,08","$2 098,59"
IL,Severe Storm(s),129 794,"$315 782 906,71","$2 432,95"
IN,Severe Storm(s),25 562,"$91 617 850,22","$3 584,14"
KS,Severe Storm(s),3 900,"$23 593 299,54","$6 049,56"
KY,Flood,835,"$2 697 428,47","$3 230,45"
KY,Severe Storm(s),15 260,"$61 815 821,12","$4 050,84"
LA,Flood,60 141,"$649 756 713,58","$10 803,89"
LA,Hurricane,13 493,"$83 100 003,87","$6 158,75"
LA,Severe Storm(s),1 022,"$4 844 428,99","$4 740,15"
MA,Hurricane,548,"$3 958 742,84","$7 223,98"
MA,Severe Storm(s),26 565,"$51 794 828,31","$1 949,74"
MA,Tornado,3,"$2 723,14","$907,71"
MD,Hurricane,507,"$1 778 106,93","$3 507,11"
ME,Flood,216,"$1 000 153,37","$4 630,34"
ME,Severe Storm(s),939,"$1 368 706,17","$1 457,62"
MI,Flood,58 848,"$91 820 170,40","$1 560,29"
MN,Flood,617,"$2 324 655,45","$3 767,67"
MN,Severe Storm(s),3 972,"$18 978 814,08","$4 778,15"
MO,Flood,2 029,"$12 481 718,11","$6 151,66"
MO,Severe Storm(s),7 562,"$32 628 238,77","$4 314,76"
MP,Typhoon,10,"$10 377,58","$1 037,76"
MS,Flood,1 610,"$17 227 513,96","$10 700,32"
MS,Hurricane,2 385,"$10 167 696,54","$4 263,19"
MS,Severe Storm(s),707,"$5 194 552,47","$7 347,32"
MS,Tornado,13,"$89 866,02","$6 912,77"
MT,Severe Storm(s),1 494,"$4 371 422,48","$2 925,99"
NC,Hurricane,14 296,"$66 888 950,91","$4 678,86"
NC,Severe Storm(s),845,"$2 836 135,40","$3 356,37"
ND,Flood,5 164,"$81 632 572,42","$15 808,01"
ND,Severe Storm(s),2 128,"$5 727 878,85","$2 691,67"
NE,Flood,314,"$3 263 110,23","$10 392,07"
NE,Severe Storm(s),540,"$1 091 928,69","$2 022,09"
NH,Hurricane,142,"$705 314,48","$4 967,00"
NH,Severe Storm(s),869,"$2 453 282,56","$2 823,11"
NJ,Hurricane,66 041,"$327 444 279,19","$4 958,20"
NJ,Severe Storm(s),14 068,"$26 507 573,15","$1 884,25"
NV,Severe Storm(s),181,"$1 704 528,33","$9 417,28"
NY,Hurricane,69 357,"$602 510 058,94","$8 687,08"
NY,Severe Storm(s),14 002,"$63 474 207,12","$4 533,22"
OH,Severe Storm(s),4 735,"$16 602 715,15","$3 506,38"
OK,Fire,6,"$177 560,45","$29 593,41"
OK,Severe Storm(s),4 705,"$24 665 080,80","$5 242,31"
OK,Tornado,888,"$2 816 736,84","$3 172,00"
OR,Severe Storm(s),532,"$4 284 193,45","$8 053,00"
PA,Flood,20 396,"$82 068 630,92","$4 023,76"
PA,Hurricane,13 017,"$18 985 556,03","$1 458,52"
PR,Hurricane,2 372,"$5 454 474,23","$2 299,53"
PR,Severe Storm(s),3 916,"$9 941 077,44","$2 538,58"
RI,Hurricane,38,"$154 930,60","$4 077,12"
RI,Severe Storm(s),13 326,"$29 779 437,65","$2 234,69"
SC,Flood,15 628,"$52 964 486,49","$3 389,08"
SC,Hurricane,3 818,"$17 512 014,24","$4 586,70"
SD,Flood,814,"$3 250 667,80","$3 993,45"
SD,Severe Storm(s),3 164,"$6 356 450,82","$2 008,99"
TN,Severe Storm(s),23 378,"$139 125 019,31","$5 951,11"
TX,Fire,2,"$28 442,65","$14 221,33"
TX,Flood,10 435,"$83 099 545,77","$7 963,54"
TX,Hurricane,25 070,"$205 751 176,19","$8 207,07"
TX,Severe Storm(s),13 085,"$66 318 492,59","$5 068,28"
VA,Earthquake,13,"$36 207,50","$2 785,19"
VA,Hurricane,1 336,"$5 193 340,43","$3 887,23"
VT,Hurricane,2 335,"$15 390 922,94","$6 591,40"
VT,Severe Storm(s),664,"$2 040 518,34","$3 073,07"
WA,Flood,1 324,"$6 038 476,36","$4 560,78"
WA,Mud/Landslide,17,"$312 565,70","$18 386,22"
WA,Severe Storm(s),3 053,"$18 249 287,69","$5 977,49"
WI,Severe Storm(s),45 717,"$81 727 880,07","$1 787,69"
WV,Flood,4 499,"$36 684 316,78","$8 153,88"
WV,Severe Storm(s),3 803,"$15 090 352,24","$3 968,01"
WY,Flood,125,"$1 011 596,92","$8 092,78"
Sum:,No Value,902 112,"$4 104 623 261,68","$4 550,02"
